Date,Close,High,Low,Open,Volume,Price Range,Short MA,Long MA,Middle_Band,Upper_Band,Lower_Band
2015-06-30,263.0719909667969,267.86700439453125,255.9459991455078,257.0360107421875,44533800,"[178, 10178)",237.43177978515624,251.73416023254396,244.18669967651368,261.5318448399815,226.84155451304585
2015-07-01,258.6210021972656,265.1719970703125,255.7740020751953,263.3450012207031,27029800,"[178, 10178)",237.78195983886718,251.2903852081299,245.63249969482422,262.7136037601997,228.55139562944873
2015-07-02,255.41200256347656,261.6310119628906,254.11599731445312,258.552001953125,21551900,"[178, 10178)",238.16265991210938,250.80928527832032,246.90400009155275,262.826481079137,230.98151910396845
2015-07-03,256.33599853515625,257.0769958496094,253.5050048828125,255.45899963378906,19033800,"[178, 10178)",238.55079986572267,250.36424026489257,248.10070037841797,262.9986564470719,233.20274430976406
2015-07-04,260.885986328125,261.4570007324219,254.1999969482422,256.4909973144531,15620400,"[178, 10178)",239.01641967773438,250.03336013793944,249.4678497314453,263.7463807592019,235.18931870368874
2015-07-05,271.9129943847656,274.5060119628906,258.70098876953125,260.80499267578125,44156100,"[178, 10178)",239.7316195678711,249.79404510498046,251.22234954833985,267.44929258638234,234.99540651029736
2015-07-06,269.0299987792969,277.4219970703125,267.6000061035156,271.1080017089844,49154800,"[178, 10178)",240.37617950439454,249.58221511840821,252.12909927368165,270.2008935027496,234.0573050446137
2015-07-07,266.2070007324219,271.34100341796875,264.8320007324219,269.9630126953125,28857600,"[178, 10178)",241.03775939941406,249.3240351867676,252.97524948120116,272.043407526027,233.90709143637528
2015-07-08,270.7850036621094,272.97100830078125,264.385986328125,265.98199462890625,36980200,"[178, 10178)",241.81451934814453,249.0281802368164,254.06414947509765,274.6083298493927,233.5199691008026
2015-07-09,269.2279968261719,272.3349914550781,267.08599853515625,270.8269958496094,40301200,"[178, 10178)",242.51871917724608,248.77010528564452,255.29524917602538,276.3963815880203,234.19411676403047
2015-07-10,284.8940124511719,294.59100341796875,268.802001953125,269.156005859375,100390000,"[178, 10178)",243.50971954345704,248.53514541625975,257.27934951782225,281.60458614873113,232.9541128869134
2015-07-11,293.114990234375,298.5060119628906,283.5299987792969,284.8800048828125,41109900,"[178, 10178)",244.56505920410157,248.32786041259766,259.737899017334,288.0077590841777,231.46803895049027
2015-07-12,310.86700439453125,314.3940124511719,292.5050048828125,293.1400146484375,56405000,"[178, 10178)",246.0049594116211,248.26952545166014,262.93174896240237,298.60214586421665,227.26135206058805
2015-07-13,292.0539855957031,310.947998046875,281.010986328125,310.8269958496094,62053900,"[178, 10178)",247.0269790649414,248.13475540161133,265.3196479797363,302.11371003018166,228.525585929291
2015-07-14,287.4639892578125,296.1470031738281,286.63800048828125,292.03399658203125,28727200,"[178, 10178)",248.03405883789063,247.93245529174806,267.6670974731445,303.782279108973,231.55191583731602
2015-07-15,285.8290100097656,293.24798583984375,285.36700439453125,288.0450134277344,27486600,"[178, 10178)",249.00831909179686,247.78228530883788,269.8185981750488,304.8052381096597,234.83195824043793
2015-07-16,278.0889892578125,291.1830139160156,275.239990234375,286.0419921875,49482600,"[178, 10178)",249.82443878173828,247.58653518676758,271.5433479309082,304.42425873781167,238.66243712400478
